date,redfin,zillow
2024-04-07T14:24:56.163286+00:00,52277374,NaN
2024-04-07T14:32:43.489353+00:00,52277374,NaN
2024-04-08T05:09:52.756945+00:00,52277374,NaN
2024-04-09T05:09:49.634891+00:00,52277374,NaN
2024-04-10T05:09:50.710760+00:00,52277374,NaN
2024-04-11T05:10:22.364928+00:00,52277374,NaN
2024-04-12T05:10:58.590262+00:00,52277374,NaN
2024-04-13T05:11:52.610059+00:00,51041742,NaN
2024-04-14T05:56:04.535959+00:00,51041742,NaN
2024-04-15T05:09:14.822914+00:00,51041742,NaN
2024-04-16T05:11:12.848226+00:00,51041742,NaN
2024-04-17T05:10:47.794086+00:00,51041742,NaN
2024-04-18T05:11:07.961694+00:00,51041742,NaN
2024-04-19T05:10:21.145903+00:00,51041742,NaN
2024-04-20T05:09:53.738020+00:00,52383847,NaN
2024-04-21T05:10:13.214689+00:00,52383847,NaN
2024-04-22T05:10:35.808191+00:00,52383847,NaN
2024-04-23T05:09:47.929353+00:00,52383847,NaN
2024-04-24T05:11:04.763214+00:00,52383847,NaN
2024-04-25T05:09:48.438977+00:00,52383847,NaN
2024-04-26T05:09:51.120773+00:00,52383847,NaN
2024-04-27T05:09:38.443812+00:00,52383847,NaN
2024-04-28T05:10:56.193118+00:00,50300441,NaN
2024-04-29T05:12:16.315098+00:00,50300441,NaN
2024-04-30T05:10:07.258205+00:00,50300441,NaN
2024-05-01T05:10:07.589861+00:00,50300441,NaN
2024-05-02T05:11:23.260502+00:00,50300441,NaN
2024-05-03T05:10:19.327758+00:00,50300441,NaN
2024-05-04T05:09:40.679549+00:00,51310322,NaN
2024-05-05T05:09:59.063913+00:00,51310322,NaN
2024-05-06T05:10:59.341688+00:00,51310322,NaN
2024-05-07T05:11:30.013278+00:00,51310322,NaN
2024-05-08T05:10:27.803065+00:00,51310322,NaN
2024-05-09T05:11:04.206194+00:00,51310322,NaN
2024-05-10T05:10:11.853331+00:00,51310322,NaN
2024-05-11T05:11:00.989888+00:00,51310322,NaN
2024-05-12T05:10:43.359543+00:00,51310322,NaN
2024-05-13T05:12:25.914243+00:00,51310322,NaN
2024-05-14T05:10:56.826127+00:00,51310322,NaN
2024-05-15T05:11:02.654102+00:00,51310322,NaN
2024-05-16T05:11:23.502375+00:00,31483905,NaN
2024-05-17T05:11:26.384278+00:00,31483905,NaN
2024-05-18T05:10:47.548266+00:00,31483905,NaN
2024-05-19T05:11:09.879433+00:00,57020085,NaN
2024-05-20T05:12:02.099966+00:00,57020085,NaN
2024-05-21T05:11:01.149226+00:00,57020085,NaN
2024-05-22T05:11:36.904989+00:00,57020085,NaN
2024-05-23T05:12:23.953921+00:00,57020085,NaN
2024-05-24T05:10:53.982612+00:00,57020085,NaN
2024-05-25T05:10:05.050302+00:00,57020085,NaN
2024-05-26T05:09:35.141655+00:00,57020085,NaN
2024-05-27T05:10:55.527660+00:00,56670698,NaN
2024-05-28T05:10:29.924521+00:00,56670698,NaN
2024-05-29T05:11:32.248442+00:00,56670698,NaN
2024-05-30T05:10:16.334152+00:00,56670698,NaN
2024-05-31T05:13:32.809988+00:00,56670698,NaN
2024-06-01T05:11:45.026733+00:00,56670698,NaN
2024-06-02T05:10:16.992553+00:00,56670698,NaN
2024-06-03T05:12:18.668091+00:00,56670698,NaN
2024-06-04T05:13:15.691510+00:00,56670698,NaN
2024-06-05T05:10:32.182636+00:00,56670698,NaN
2024-06-06T05:11:40.225412+00:00,56670698,NaN
2024-06-07T05:11:28.485854+00:00,56670698,NaN
2024-06-08T05:10:36.427325+00:00,56670698,NaN
2024-06-09T05:10:21.453092+00:00,56526886,NaN
2024-06-10T05:11:00.487210+00:00,56526886,NaN
2024-06-11T05:11:57.897491+00:00,56526886,NaN
2024-06-12T05:11:06.833791+00:00,56526886,NaN
2024-06-13T05:12:14.673962+00:00,56526886,NaN
2024-06-14T05:10:40.875056+00:00,56526886,NaN
2024-06-15T05:11:01.548411+00:00,59734174,NaN
2024-06-16T05:11:08.106295+00:00,59734174,NaN
2024-06-17T05:14:09.261264+00:00,59734174,NaN
2024-06-18T05:11:51.213025+00:00,59734174,NaN
